"x"
"DDIT4"
"OASL"
"IFNB1"
"ARMC5"
"MOV10"
"FGD4"
"IFNAR2"
"G3BP1"
"STAT2"
"ZNFX1"
"SNX2"
"RGS14"
"FBXO24"
"ITPK1"
"OTUD4"
"ZNF300"
"CLEC4D"
"FUBP1"
"SPA17"
"NKD1"
"SLC10A7"
"NNT"
"ZFP69"
"PEX26"
"STAC3"
"CNTN2"
"HOXA13"
"CHD2"
"OR1Q1"
"TAF7"
"PAX4"
"SH2D4A"
"COPB1"
"CA1H1orf35"
"TRIM27"
"AMIGO2"
"TET1"
"EXD2"
"TUBGCP6"
"NRSN2"
"PPP1R15A"
"PPAT"
"MAP2K5"
"PBDC1"
"NGRN"
"UBE2H"
"TEKT2"
"ATF7"
"KITLG"
"COQ9"
"SIRT3"
"CSRNP2"
"MED15"
"DYNLRB2"
"SPSB1"
"MLPH"
"ACTRT3"
"OAT"
"MINAR1"
"PPP2R3C"
"HPN"
"MYO6"
"C8orf76"
"EMC1"
"SMAP1"
"DTNB"
"EFCAB12"
"COBLL1"
"SF3B2"
"ADCY9"
"MPV17L2"
"STX1A"
"ABCA8"
"TOGARAM1"
"TMCC2"
"MRPL21"
"LIM2"
"IRF6"
"LARP4B"
"ZDHHC16"
"PRSS22"
"PRR3"
"CFAP299"
"ITM2A"
"SAMD8"
"UPK3A"
"NSMCE2"
"NDRG2"
"RBL2"
"MRTFB"
"PCED1B"
"HMOX2"
"PHF2"
"FAM184B"
"SEC62"
"CCR6"
"HNF1B"
"TEX48"
"APOBEC2"
"IMPDH1"
"GLCE"
"VWC2L"
"SP8"
"UBE2D1"
"NMNAT1"
"PPP1R12B"
"KLHL40"
"PLIN2"
"OR1K1"
"SAV1"
